Date,Open,High,Low,Close,Adj Close,Volume
2022-11-04,61.959999,62.119999,60.599998,61.900002,61.481373,1666400
2022-11-07,62.090000,62.450001,61.500000,62.410000,61.987923,2047500
2022-11-08,62.860001,65.660004,62.529999,64.570000,64.133316,3369700
2022-11-09,64.510002,65.250000,63.470001,63.610001,63.179806,3020100
2022-11-10,65.250000,66.339996,64.540001,66.209999,65.762222,2351800
2022-11-11,66.529999,66.900002,65.940002,66.400002,65.950935,1797200
2022-11-14,66.059998,67.120003,65.680000,66.040001,65.593376,1824300
2022-11-15,66.709999,66.989998,64.459999,64.790001,64.351830,2372200
2022-11-16,64.860001,65.690002,64.860001,65.360001,64.917969,1303900
2022-11-17,64.849998,65.080002,64.059998,64.860001,64.421356,1414200
2022-11-18,65.489998,65.639999,64.639999,65.519997,65.076881,3453500
2022-11-21,65.559998,66.250000,65.190002,65.959999,65.513908,1468600
2022-11-22,66.160004,66.629997,65.870003,66.519997,66.070122,1876600
2022-11-23,66.449997,67.730003,66.449997,67.129997,66.675995,1170100
2022-11-25,67.129997,67.610001,66.739998,67.150002,66.695862,605000
2022-11-28,66.809998,67.180000,66.199997,66.269997,65.821815,1452800
2022-11-29,66.150002,66.730003,65.930000,66.099998,65.652969,1721600
2022-11-30,66.279999,68.910004,66.129997,68.459999,67.997009,4030800
2022-12-01,68.570000,69.110001,68.129997,68.489998,68.226120,1089700
2022-12-02,67.739998,69.220001,67.720001,68.980003,68.714233,1129900
2022-12-05,68.750000,68.820000,67.570000,67.860001,67.598549,1796500
2022-12-06,67.839996,68.099998,66.570000,67.010002,66.751823,2158100
2022-12-07,66.900002,67.470001,64.699997,64.839996,64.590179,3261800
2022-12-08,65.000000,65.470001,63.939999,64.190002,63.942688,2666000
2022-12-09,63.849998,64.209999,63.139999,63.200001,62.956501,2713600
2022-12-12,63.080002,64.699997,63.000000,64.680000,64.430801,2198500
2022-12-13,66.139999,66.690002,64.540001,64.989998,64.739601,2250100
2022-12-14,65.120003,65.360001,63.099998,63.590000,63.344997,4219900
2022-12-15,62.869999,63.340000,61.540001,61.740002,61.502129,2987900
